Partida nº: 26 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 27 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 28 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 29 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 30 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 31 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 32 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 33 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 34 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 233 
Partida nº: 35 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 36 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 223 
Partida nº: 37 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 38 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 39 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 40 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
NP:40 B:1 N:4 T:35 PM:238.899994 PC:27.325001 
Partida nº: 1 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 2 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 3 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 4 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 5 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 6 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 237 
Partida nº: 7 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 8 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 9 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 10 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 11 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 237 
Partida nº: 12 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 13 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 14 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 15 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 16 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 17 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 18 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 19 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Blancas | Movimientos: 226 
Partida nº: 20 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 21 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 22 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 23 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 24 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 25 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 26 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 27 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 28 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 29 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 30 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 31 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 32 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 33 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 34 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 233 
Partida nº: 35 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 36 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 223 
Partida nº: 37 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 38 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 39 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 40 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 41 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 42 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 43 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 44 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 225 
Partida nº: 45 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
NP:45 B:1 N:5 T:39 PM:238.688889 PC:27.355556 
Partida nº: 1 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 2 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 3 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 4 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 5 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 6 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 7 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 229 
Partida nº: 8 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 9 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 10 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 11 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 12 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 13 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
